"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Clk2",0.00053962043426973,0.996046853288294,0.156,0.07,1
"Aspg",0.000543094694991657,0.662353631685837,0.201,0.099,1
"Rab1b",0.000543730226071931,0.283866064236657,0.772,0.645,1
"Clpb",0.000546235289206485,0.396109449322526,0.37,0.227,1
"Timm9",0.000547005364839355,0.478874672145227,0.237,0.128,1
"Dnlz",0.00054795799449189,0.385507226185015,0.557,0.384,1
"Sema6c",0.000548263656473034,-1.44519527496708,0.097,0.177,1
"Rfxank",0.000548605080690852,0.460822963227502,0.178,0.081,1
"Mpo",0.000551087977074005,0.525380592267313,0.638,0.488,1
"Ncbp1",0.000557410735783103,0.508707944618845,0.493,0.343,1
"Pqlc2",0.00056529976269538,0.610586830593045,0.234,0.125,1
"Cyhr1",0.000566909572162953,0.301553355239784,0.669,0.497,1
"BC024978",0.000568740865400648,0.755097010156577,0.139,0.058,1
"Jag1",0.00057005745431483,0.587805971351731,0.162,0.073,1
"Vps54",0.000572181592297684,0.50792317166691,0.44,0.282,1
"Tstd3",0.000575033452330222,0.822321623048197,0.125,0.049,1
"Sult1a1",0.000575108132175702,0.492403537629114,0.273,0.154,1
"Mzb1",0.000577151572971418,0.480500248387062,0.426,0.276,1
"Nadk2",0.000579166726155928,0.445659477892294,0.563,0.404,1
"Inf2",0.000580814861264544,0.452913239399259,0.354,0.215,1
"Atp6v0e",0.000581337621145878,0.295731345783384,0.791,0.663,1
"H2-Aa",0.000587238500276411,0.57030364291893,0.379,0.244,1
"Tmed4",0.000587776934413582,0.362868629292797,0.304,0.174,1
"Tceal9",0.000588191579015277,-0.45966332969946,0.554,0.587,1
"Surf1",0.000589961733407356,0.4572956420162,0.429,0.276,1
"Nadk",0.000590615215479341,0.320929881074852,0.766,0.599,1
"Nedd4l",0.00059153878029603,0.821029195151263,0.228,0.122,1
"Aamp",0.000592531827578321,0.310357049724032,0.674,0.494,1
"Adh1",0.000592753411050999,0.859544573682209,0.175,0.084,1
"Uqcc3",0.000595245063235231,0.363439935859329,0.68,0.503,1
"Gpd1l",0.000596015527720594,0.361744165672695,0.376,0.23,1
"Qpctl",0.000596232184234519,0.857226683168716,0.103,0.035,1
"Pja1",0.00059666515820513,0.433219737321643,0.362,0.221,1
"Acadsb",0.000598637086819698,0.629702492276253,0.234,0.125,1
"Dnaaf5",0.000600969267237078,0.566479835208966,0.27,0.154,1
"Ptpn4",0.000607207293833473,0.464192297734405,0.29,0.166,1
"Capza2",0.000608679974638985,0.350227007181659,0.504,0.331,1
"Mxd4",0.000609519013476683,0.448716464255169,0.593,0.427,1
"Brap",0.000610790743544977,0.466249329128955,0.226,0.119,1
"Snu13",0.000618345171873436,0.28207293759143,0.471,0.302,1
"Ocel1",0.000619684587304891,0.600699638032455,0.24,0.128,1
"Pofut2",0.000625052691603417,0.399963615096582,0.368,0.224,1
"Gne",0.000627472674919172,0.368772290591028,0.351,0.209,1
"Bcs1l",0.000630047172425868,0.669477084030851,0.242,0.134,1
"Cdk2ap2",0.000635641586462363,0.494564210718212,0.624,0.485,1
"Vti1a",0.000636872715731895,0.307485695573456,0.638,0.465,1
"Tbkbp1",0.000637267197421458,0.669221423027238,0.206,0.105,1
"Vav2",0.000637592337123217,0.504016105575019,0.27,0.151,1
"Cplx1",0.00063774739552469,1.366944196228,0.201,0.108,1
"Cmc2",0.000638765114071313,0.349559848236373,0.443,0.282,1
"Gm2a",0.00064022293036424,0.438152819932128,0.443,0.305,1
"Slco2a1",0.000642730766793248,1.1278138472127,0.156,0.073,1
"Snap29",0.000642970312805564,0.444093652927488,0.379,0.244,1
"Mapkapk2",0.000643485644492339,0.313082729547018,0.819,0.709,1
"Tpp1",0.000643604927517831,0.274668864138481,0.409,0.25,1
"Ruvbl2",0.000646325093776123,0.354204912087216,0.521,0.355,1
"Atp9a",0.000646640147669102,0.589738200662194,0.37,0.23,1
"Dnajc4",0.000647212562622942,0.474455867640409,0.387,0.25,1
"Ppp2r5a",0.000649619904552189,0.395910177121482,0.482,0.314,1
"Baz1a",0.00065095614716817,0.512856837759306,0.354,0.218,1
"Azin2",0.000651916948335517,1.04617612319213,0.12,0.047,1
"Tagln3",0.00065642853476458,1.29058586276628,0.131,0.055,1
"Rnf6",0.000657716200342626,0.53627739855432,0.178,0.084,1
"Mis12",0.000662345244081593,0.721417317572107,0.203,0.105,1
"Ucma",0.00066691201945279,-1.46033543901671,0.047,0.116,1
"Noa1",0.000670248126222841,0.457129835932385,0.368,0.227,1
"Mapkap1",0.000671706259368194,0.534978030537959,0.348,0.215,1
"Pcmtd1",0.000679777584364963,0.706993442232514,0.15,0.067,1
"Ica1",0.000681076926294756,0.438221260261519,0.145,0.061,1
"Raf1",0.000683040646684934,0.38044404604353,0.304,0.174,1
"Rfx7",0.00068536035044301,0.518497336305489,0.329,0.198,1
"Senp6",0.000685448331558904,0.292893156954866,0.306,0.169,1
"Ccdc3",0.000689138804173575,0.37254551631652,0.46,0.302,1
"Sergef",0.000698795778055751,0.4727865706554,0.203,0.102,1
"Eed",0.000700427850246245,0.449204314552709,0.323,0.195,1
"Ptpn13",0.000702107957678089,0.66639249272863,0.217,0.113,1
"Akr1a1",0.000707086446899959,0.269640262660632,0.877,0.823,1
"Otud5",0.000708464047271777,0.297928935218283,0.844,0.735,1
"Cyfip2",0.000708619147188691,0.320897867688943,0.838,0.724,1
"Ptp4a1",0.0007145855001852,0.387559462798553,0.646,0.5,1
"Rmdn1",0.000722143187048358,0.282898219294599,0.248,0.131,1
"Spag9",0.000733047964193202,0.307890973264295,0.513,0.331,1
"Prpf39",0.000733574814225156,0.882095740819867,0.212,0.11,1
"Rrp9",0.000733974736684478,0.487253224905567,0.407,0.259,1
"Yap1",0.000735602522938691,0.704654979284726,0.175,0.084,1
"Lzic",0.000738610743135241,0.49454891091476,0.262,0.145,1
"Igkc",0.00073964571071903,0.333964703020057,0.905,0.765,1
"Smad5",0.000743088724379924,0.441380251635021,0.359,0.218,1
"Ptrhd1",0.00074485217249735,0.332386628553291,0.237,0.125,1
"Fam126a",0.000746918686489746,0.434311957795901,0.331,0.201,1
"Syngr1",0.00074947399780127,0.675239791975939,0.306,0.183,1
"Fbxo21",0.000753015296803653,0.704588818904903,0.15,0.067,1
"Usp30",0.000754219349999721,0.873036393873006,0.162,0.076,1
"St3gal4",0.000754584036980266,0.34549432304791,0.479,0.32,1
"H2-T22",0.000760250935271003,0.816637843874379,0.17,0.081,1
"Slc28a2",0.000761158230016584,0.580398476327636,0.248,0.137,1
"Mlxipl",0.000761727583714229,0.439736446763205,0.22,0.113,1
"Ptprcap",0.000762523020183942,0.363338750387139,0.747,0.59,1
"Alg14",0.000765942134014808,0.603423943075702,0.245,0.137,1
"Snx9",0.000765982851170037,0.450811675138283,0.393,0.244,1
"Plgrkt",0.00076850434676489,0.346998033213943,0.354,0.224,1
"Zkscan14",0.000768575215073982,0.556440207235222,0.139,0.058,1
"Cds2",0.000769775440703881,0.318932093899046,0.418,0.265,1
"Sav1",0.00077546171179785,0.505525554316994,0.423,0.279,1
"Trit1",0.000775509103205382,0.482033479846268,0.209,0.108,1
"Stom",0.000775832674501737,0.304144902416683,0.733,0.576,1
"Ccsap",0.000786441844303756,1.18896929147951,0.153,0.073,1
"S100a13",0.000789996328215964,0.332705077971427,0.638,0.477,1
"6330403K07Rik",0.000792817153627207,1.84230960953095,0.136,0.061,1
"Zfp236",0.000793330523418996,0.416395511814529,0.312,0.18,1
"Kirrel",0.00080179540172384,0.899408523916234,0.128,0.052,1
"Esam",0.000805443207526865,0.340789254028714,0.462,0.297,1
"Tmed5",0.000809630552036261,0.457845941407532,0.306,0.177,1
"Jup",0.000811394704673255,0.295626204048507,0.554,0.404,1
"L1cam",0.000812925256103599,1.47493188307992,0.164,0.081,1
"Nr2c2",0.000816894870876867,0.470629130345026,0.337,0.203,1
"Scyl1",0.000817306261217395,0.598097938648661,0.287,0.172,1
"Arpc4",0.000825948765999308,0.371324641870247,0.513,0.349,1
"Hs1bp3",0.000826191537511449,0.463423627876046,0.203,0.102,1
"Ttll5",0.00082926852370939,0.473714043756977,0.248,0.137,1
"Polr3e",0.000829475629475226,0.506906398469444,0.312,0.189,1
"Ate1",0.000829793638116983,0.6736921624144,0.195,0.099,1
"Anks1",0.000833020345062631,0.289133063447537,0.44,0.279,1
"B9d2",0.000833326019149964,0.591877385311547,0.337,0.212,1
"Rpusd1",0.000837827279579029,0.797082153677534,0.209,0.11,1
"Lnpep",0.00083843450134216,0.68041957667831,0.178,0.087,1
"Serinc1",0.000839639465264206,0.372591348310654,0.655,0.497,1
"Vps18",0.000848671566140155,0.727305623773801,0.114,0.044,1
"Tmem123",0.000848884874962668,0.367834817552568,0.552,0.401,1
"Uchl1",0.000850512444032543,1.26812231827128,0.513,0.378,1
"Eif2b4",0.000851410172254562,0.41575851149624,0.485,0.328,1
"Ndst2",0.000852478457837123,0.360917886193923,0.306,0.177,1
"Ube2a",0.000852880318488832,0.374252137240752,0.563,0.398,1
"Bptf",0.000860397572879287,0.56930118316688,0.384,0.25,1
"Psma2",0.000862606219851344,0.335360548855178,0.507,0.337,1
"Enpp4",0.000865419664230936,0.846717680924005,0.136,0.058,1
